loss,mean_absolute_error,val_loss,val_mean_absolute_error,lr
103.643692,2.990165,49.831665,3.217044,0.10
48.801670,3.024845,49.758850,2.821893,0.10
48.785290,3.025891,51.758354,2.442888,0.10
48.806389,3.027044,50.141899,3.637166,0.10
48.794769,3.025975,49.671612,3.094112,0.10
48.783691,3.025599,49.687298,2.941596,0.10
48.785515,3.024496,49.892231,2.717612,0.10
48.788677,3.025040,49.674973,2.982485,0.10
48.791386,3.024827,50.057396,2.626705,0.10
48.787014,3.024542,49.698071,3.183539,0.10
48.638302,3.003692,49.733719,2.854088,0.02
48.637459,3.003336,49.681358,2.958751,0.02
48.640285,3.004216,49.973358,2.669846,0.02
48.638847,3.003512,49.676918,3.118785,0.02
48.639973,3.003197,49.691559,3.166328,0.02
